"","term","estimate","std.error","statistic","p.value"
"1","treated_prov",2.26919913419921,0.190920898903513,11.885546041484,1.07748142600373e-31
"2","treated_year",3.32734848484847,1.00562497732639,3.30873691472415,0.000951069030794153
"3","industryAccommodation and food services",7.75108008657973,0.711036182117889,10.9011050091606,4.86847031600776e-27
"4","industryAgriculture 5",9.2980800865801,0.711036182117901,13.0768030100588,8.55766695686127e-38
"5","industryBusiness, building and other support services 8",10.0070800865801,0.711036182117909,14.0739393272123,2.78768589565239e-43
"6","industryConstruction",14.4700800865799,0.711036182117885,20.3506944519749,4.83679825942319e-85
"7","industryEducational services",18.8650800865801,0.71103618211791,26.5318144997743,3.50344516499372e-136
"8","industryFinance, insurance, real estate, rental and leasing",14.6360800865801,0.711036182117905,20.5841565516186,8.21158698570176e-87
"9","industryForestry, fishing, mining, quarrying, oil and gas 6 7",16.9300800865799,0.711036182117888,23.810434000914,1.23208237764441e-112
"10","industryHealth care and social assistance",14.7540800865802,0.711036182117906,20.7501115381125,4.44243559704485e-88
"11","industryInformation, culture and recreation",14.2000800865802,0.711036182117905,19.9709669405059,3.41483028673669e-82
"12","industryManufacturing",14.3500800865802,0.711036182117912,20.1819266690995,9.02324137198844e-84
"13","industryOther services (except public administration)",11.4430800865801,0.711036182117904,16.0935271289509,2.06977471155506e-55
"14","industryProfessional, scientific and technical services",16.1040800865801,0.711036182117901,22.6487490954571,4.67620281280723e-103
"15","industryTransportation and warehousing",14.8060800865802,0.711036182117905,20.823244244025,1.22218751275437e-88
"16","industryWholesale and retail trade",10.6770800865801,0.711036182117911,15.0162261149315,8.94224265044642e-49
"17","year1998",0.0810000000002572,1.0051944532123,0.0805814235657645,0.935781581119791
"18","year1999",0.221000000000156,1.00519445321232,0.219857958123328,0.826000540123467
"19","year2000",0.55000000000014,1.00519445321233,0.547157814333821,0.58432135778013
"20","year2001",-2.48100000000002,1.00519445321231,-2.46817915883982,0.0136497080128497
"21","year2002",-2.35300000000003,1.00519445321233,-2.34084061295851,0.0193221245276103
"22","year2003",-1.95400000000005,1.00519445321233,-1.94390248946917,0.0520243293475902
"23","year2004",-1.76700000000006,1.00519445321233,-1.75786883259573,0.078897720536425
"24","year2005",-1.31200000000005,1.00519445321234,-1.3052200952833,0.191943448579479
"25","year2006",-1.02800000000005,1.00519445321233,-1.02268769660918,0.306558946018609
"26","year2007",-0.607000000000043,1.00519445321234,-0.603863260546485,0.545991818452674
"27","year2008",NA,NA,NA,NA
"28","year2009",3.87900000000017,1.00519445321233,3.85895483963717,0.000116886214042007
"29","year2010",4.28300000000013,1.00519445321233,4.26086712507497,2.11518921710071e-05
"30","year2011",4.69500000000013,1.00519445321233,4.67073806963037,3.16741275440136e-06
"31","year2012",5.17200000000012,1.00519445321233,5.14527311951613,2.88842250070226e-07
"32","year2013",5.40600000000013,1.00519445321233,5.37806389870538,8.26013352458047e-08
"33","year2014",5.67200000000013,1.00519445321233,5.64268931436494,1.87171305451305e-08
"34","year2015",5.90800000000015,1.00519445321233,5.87746975833357,4.74711775410009e-09
"35","treated_prov:treated_year",0.246515151515146,0.29422886566506,0.837834693608105,0.402207257203279
"36","industryAgriculture 5:year1998",0.299999999999124,1.42155962855509,0.211035818669142,0.832877297915866
"37","industryBusiness, building and other support services 8:year1998",0.205999999999796,1.42155962855507,0.144911262153092,0.884793142918822
"38","industryConstruction:year1998",0.301999999999719,1.42155962855507,0.212442724127362,0.831779758571298
"39","industryEducational services:year1998",-0.0330000000001867,1.42155962855507,-0.023213940053805,0.981481555301902
"40","industryFinance, insurance, real estate, rental and leasing:year1998",0.181999999999807,1.42155962855507,0.128028396659519,0.898137262945086
"41","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year1998",0.428999999999811,1.42155962855507,0.301781220697624,0.762845081523834
"42","industryHealth care and social assistance:year1998",0.154999999999767,1.42155962855504,0.109035172979215,0.913183738264884
"43","industryInformation, culture and recreation:year1998",0.34099999999977,1.42155962855506,0.239877380554468,0.810445870223246
"44","industryManufacturing:year1998",0.254999999999777,1.42155962855506,0.179380445869142,0.857654177094287
"45","industryOther services (except public administration):year1998",0.288999999999761,1.42155962855507,0.203297838651702,0.838919536631544
"46","industryProfessional, scientific and technical services:year1998",-0.0450000000002355,1.42155962855507,-0.0316553728006297,0.974749525335116
"47","industryTransportation and warehousing:year1998",0.0639999999997688,1.42155962855507,0.0450209746493864,0.964094348494555
"48","industryWholesale and retail trade:year1998",0.0359999999997877,1.42155962855508,0.0253242982402217,0.979798405334723
"49","industryAgriculture 5:year1999",0.184999999999548,1.42155962855508,0.130138754846034,0.896467591444621
"50","industryBusiness, building and other support services 8:year1999",0.171999999999867,1.42155962855508,0.120993869370568,0.903706053357229
"51","industryConstruction:year1999",0.4009999999998,1.42155962855509,0.282084544288436,0.77790308727498
"52","industryEducational services:year1999",0.0139999999998812,1.42155962855509,0.00984833820450514,0.992143111275949
"53","industryFinance, insurance, real estate, rental and leasing:year1999",0.457999999999879,1.42155962855509,0.322181349835746,0.747343466847337
"54","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year1999",0.681999999999886,1.42155962855508,0.479754761109172,0.63144564668506
"55","industryHealth care and social assistance:year1999",0.164999999999858,1.42155962855509,0.116069700268266,0.907607045349574
"56","industryInformation, culture and recreation:year1999",0.377999999999833,1.42155962855506,0.265905131523783,0.790335188914887
"57","industryManufacturing:year1999",0.394999999999856,1.4215596285551,0.277863827915078,0.781140905784277
"58","industryOther services (except public administration):year1999",0.151999999999846,1.42155962855508,0.10692481479257,0.914857593309456
"59","industryProfessional, scientific and technical services:year1999",0.797999999999835,1.42155962855509,0.561355277661441,0.574607950570126
"60","industryTransportation and warehousing:year1999",0.459999999999841,1.42155962855508,0.323588255293518,0.746278068583083
"61","industryWholesale and retail trade:year1999",0.265999999999855,1.42155962855509,0.187118425887084,0.851583650741952
"62","industryAgriculture 5:year2000",0.0259999999998895,1.42155962855509,0.0182897709513012,0.985409213078061
"63","industryBusiness, building and other support services 8:year2000",0.389999999999883,1.42155962855509,0.274346564270603,0.78384199364258
"64","industryConstruction:year2000",0.697999999999828,1.42155962855509,0.491010004771515,0.623464414978477
"65","industryEducational services:year2000",0.179999999999906,1.42155962855509,0.126621491201788,0.899250628490466
"66","industryFinance, insurance, real estate, rental and leasing:year2000",0.969999999999901,1.42155962855509,0.682349147032147,0.495084272977315
"67","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2000",0.970999999999922,1.42155962855509,0.683052599761059,0.494639755289939
"68","industryHealth care and social assistance:year2000",0.334999999999883,1.42155962855509,0.235656664181147,0.813719273629582
"69","industryInformation, culture and recreation:year2000",0.349999999999865,1.42155962855509,0.246208455114622,0.805541995628171
"70","industryManufacturing:year2000",0.690999999999879,1.42155962855509,0.486085835669257,0.626950835053024
"71","industryOther services (except public administration):year2000",0.367999999999872,1.42155962855509,0.258870604234813,0.795757353543951
"72","industryProfessional, scientific and technical services:year2000",1.30599999999986,1.42155962855508,0.918709263942251,0.358340291225728
"73","industryTransportation and warehousing:year2000",0.796999999999867,1.42155962855509,0.560651824932562,0.575087423230055
"74","industryWholesale and retail trade:year2000",0.189999999999871,1.42155962855509,0.133656018490756,0.893685828514854
"75","industryAgriculture 5:year2001",0.0499999999998625,1.42155962855509,0.0351726364448628,0.971945016417812
"76","industryBusiness, building and other support services 8:year2001",0.645999999999891,1.42155962855509,0.454430462868803,0.64956026398122
"77","industryConstruction:year2001",0.884999999999834,1.42155962855508,0.622555665075671,0.533635895030198
"78","industryEducational services:year2001",0.399999999999911,1.42155962855509,0.281381091559615,0.778442457479117
"79","industryFinance, insurance, real estate, rental and leasing:year2001",1.2289999999999,1.42155962855509,0.864543403817037,0.387376136390407
"80","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2001",1.01799999999991,1.42155962855509,0.716114878019315,0.473990320812651
"81","industryHealth care and social assistance:year2001",0.720999999999882,1.42155962855508,0.507189417536236,0.612068673661544
"82","industryInformation, culture and recreation:year2001",0.523999999999876,1.42155962855509,0.368609229943091,0.71245163490962
"83","industryManufacturing:year2001",0.771999999999894,1.42155962855509,0.543065506710101,0.587135299989415
"84","industryOther services (except public administration):year2001",0.505999999999875,1.42155962855508,0.355947080822905,0.721911585144547
"85","industryProfessional, scientific and technical services:year2001",2.01999999999987,1.42155962855509,1.42097451237628,0.155454513863211
"86","industryTransportation and warehousing:year2001",0.728999999999872,1.42155962855509,0.512817039367422,0.608126662042591
"87","industryWholesale and retail trade:year2001",0.271999999999877,1.42155962855509,0.191339142260494,0.848276135684266
"88","industryAgriculture 5:year2002",0.288000000000199,1.42155962855509,0.202594385923108,0.839469308164882
"89","industryBusiness, building and other support services 8:year2002",0.842999999999863,1.42155962855508,0.593010650461925,0.553230084995681
"90","industryConstruction:year2002",0.990999999999802,1.42155962855509,0.697121654338963,0.485794408504264
"91","industryEducational services:year2002",0.914999999999894,1.42155962855509,0.643659246942687,0.519858126895219
"92","industryFinance, insurance, real estate, rental and leasing:year2002",1.77599999999987,1.42155962855509,1.24933204652488,0.21166588734487
"93","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2002",1.50299999999989,1.42155962855508,1.05728945153541,0.290486269460882
"94","industryHealth care and social assistance:year2002",1.30299999999987,1.42155962855509,0.916598905755553,0.359445258134762
"95","industryInformation, culture and recreation:year2002",0.436999999999854,1.42155962855509,0.307408842528845,0.758558959711626
"96","industryManufacturing:year2002",1.13399999999985,1.42155962855509,0.797715394571582,0.425114849579108
"97","industryOther services (except public administration):year2002",0.896999999999854,1.42155962855509,0.630997097822473,0.528102707353803
"98","industryProfessional, scientific and technical services:year2002",2.44999999999985,1.42155962855509,1.72345918580292,0.0849347451309008
"99","industryTransportation and warehousing:year2002",1.00099999999984,1.42155962855509,0.704156181627983,0.481404059551771
"100","industryWholesale and retail trade:year2002",0.365999999999862,1.42155962855509,0.257463698777007,0.79684298090247
"101","industryAgriculture 5:year2003",0.247999999999767,1.42155962855509,0.174456276766836,0.861521653527682
"102","industryBusiness, building and other support services 8:year2003",0.633999999999878,1.42155962855509,0.445989030122003,0.655645535431674
"103","industryConstruction:year2003",0.965999999999815,1.42155962855508,0.679535336116493,0.496864477224621
"104","industryEducational services:year2003",1.1599999999999,1.42155962855509,0.816005165522991,0.414578431090399
"105","industryFinance, insurance, real estate, rental and leasing:year2003",1.37499999999988,1.42155962855509,0.967247502236308,0.333518103971603
"106","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2003",1.38199999999988,1.42155962855508,0.972171671338606,0.331063446685693
"107","industryHealth care and social assistance:year2003",1.57999999999987,1.42155962855509,1.11145531166063,0.266484116108012
"108","industryInformation, culture and recreation:year2003",0.505999999999862,1.42155962855508,0.355947080822896,0.721911585144554
"109","industryManufacturing:year2003",1.07399999999988,1.42155962855509,0.755508230837649,0.45001848213877
"110","industryOther services (except public administration):year2003",0.801999999999861,1.42155962855509,0.564169088577054,0.572691955094807
"111","industryProfessional, scientific and technical services:year2003",2.52299999999986,1.42155962855509,1.77481123501257,0.076056211838069
"112","industryTransportation and warehousing:year2003",1.22899999999987,1.42155962855509,0.864543403817014,0.387376136390419
"113","industryWholesale and retail trade:year2003",0.397999999999868,1.42155962855508,0.279974186101787,0.779521518082654
"114","industryAgriculture 5:year2004",0.305999999999781,1.42155962855508,0.215256535042999,0.829585666322294
"115","industryBusiness, building and other support services 8:year2004",0.688999999999869,1.42155962855509,0.484678930211453,0.627948492978645
"116","industryConstruction:year2004",1.15999999999981,1.42155962855508,0.816005165522933,0.414578431090431
"117","industryEducational services:year2004",1.7379999999999,1.42155962855509,1.22260084282673,0.221600942987039
"118","industryFinance, insurance, real estate, rental and leasing:year2004",1.48499999999988,1.42155962855509,1.04462730241522,0.296300810645886
"119","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2004",1.42799999999993,1.42155962855508,1.004530496868,0.315224584102915
