,seriesValue,seriesID,seriesName,topicID,jurisdictionName,industryCode,industryName,occupationCode,occupationName,agencyID,agencyName,periodCode,startDate,endDate,sourceCitation,sourceName,sourceOrganization,sourceUrl,documentationUrl,footNote
0,89154.0,1,Total Restrictions,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2020,2020-12-31,2020-01-01,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
1,11827756.0,2,Total Words,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2020,2020-12-31,2020-01-01,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
2,1082486.0,1,Total Restrictions,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2020,2020-12-31,2020-01-01,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
3,103524233.0,2,Total Words,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2020,2020-12-31,2020-01-01,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
4,235925.0,1,Total Restrictions,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2020,2020-12-31,2020-01-01,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
5,44138803.0,2,Total Words,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2020,2020-12-31,2020-01-01,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
6,904606.0,1,Total Restrictions,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2004,2004-01-01,2004-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
7,82842939.0,2,Total Words,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2004,2004-01-01,2004-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
8,82271.0,1,Total Restrictions,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2013,2013-01-01,2013-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
9,10626507.0,2,Total Words,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2013,2013-01-01,2013-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
